chapter,subtopic,question_count,last_seen_year,difficulty,study_action
Business Environment,Consumer Protection and Legal Aspects,1,2025,easy,Do NCERT summary and one PYQ pass
Business Finance,Capital Structure,1,2025,easy,Do NCERT summary and one PYQ pass
Business Finance,Cost Classification,1,2025,easy,Do NCERT summary and one PYQ pass
Business Finance,Owners' Funds,1,2025,easy,Do NCERT summary and one PYQ pass
Business Finance,Project Appraisal,1,2025,easy,Do NCERT summary and one PYQ pass
Business Finance,current assets,1,2025,easy,Do NCERT summary and one PYQ pass
Business Finance,financial ratios,1,2025,medium,Study after high-priority topics
Business Finance,financial statements and ratios,1,2025,easy,Do NCERT summary and one PYQ pass
Consumer Protection,consumer products,1,2025,easy,Do NCERT summary and one PYQ pass
Controlling,objectives of standardisation,1,2025,easy,Do NCERT summary and one PYQ pass
Directing,principles of directing,1,2025,easy,Do NCERT summary and one PYQ pass
Entrepreneurship,Entrepreneurial Competencies,1,2025,medium,Study after high-priority topics
Entrepreneurship,Motivation for Entrepreneurship,1,2025,easy,Do NCERT summary and one PYQ pass
Entrepreneurship Development,functions of an entrepreneur,1,2025,easy,Do NCERT summary and one PYQ pass
Financial Management,Current Assets,1,2025,easy,Do NCERT summary and one PYQ pass
Financial Management,Leverage Ratios,1,2025,easy,Do NCERT summary and one PYQ pass
Financial Management,Profitability Ratios,1,2025,easy,Do NCERT summary and one PYQ pass
Functions of Management,Staffing,1,2025,easy,Do NCERT summary and one PYQ pass
Marketing,Classification of Products,1,2025,medium,Study after high-priority topics
Marketing,Classification of products,1,2025,medium,Study after high-priority topics
Marketing,Pricing,1,2025,medium,Study after high-priority topics
Marketing,Promotion Mix,1,2025,easy,Do NCERT summary and one PYQ pass
Marketing,competition and response strategies,1,2025,easy,Do NCERT summary and one PYQ pass
Marketing Management,Brand Management,1,2025,easy,Do NCERT summary and one PYQ pass
Nature and Scope of Business,Profession,1,2025,easy,Do NCERT summary and one PYQ pass
Nature and Significance of Management,Organizational Structure and Communication Networks,1,2025,easy,Do NCERT summary and one PYQ pass
Nature and Significance of Management,decentralization,1,2025,easy,Do NCERT summary and one PYQ pass
Nature and Significance of Management,dimensions of management,1,2025,easy,Do NCERT summary and one PYQ pass
Nature and Significance of Management,features of management as an art,1,2025,easy,Do NCERT summary and one PYQ pass
Nature and Significance of Management,social objective,1,2025,hard,Study after high-priority topics
Nature and Significance of Management,types of business tests,1,2025,medium,Study after high-priority topics
Organising,divisional structure,1,2025,hard,Study after high-priority topics
Physical Distribution,Functions of Physical Distribution,1,2025,easy,Do NCERT summary and one PYQ pass
Planning,Budgeting,1,2025,easy,Do NCERT summary and one PYQ pass
Principles of Management,Principle of Authority and Responsibility,1,2025,easy,Do NCERT summary and one PYQ pass
Principles of Management,Techniques of Scientific Management,1,2025,easy,Do NCERT summary and one PYQ pass
Principles of Management,environmental scanning techniques,1,2025,easy,Do NCERT summary and one PYQ pass
Production and Operations Management,Economies of Scale,1,2025,hard,Study after high-priority topics
Staffing,employee retention,1,2025,easy,Do NCERT summary and one PYQ pass
Business Finance,Financing Decision,1,2024,easy,Do NCERT summary and one PYQ pass
Financial Markets,Capital and Financial Markets,1,2024,easy,Do NCERT summary and one PYQ pass
Financial Markets,Trading and Settlement Procedures,1,2024,easy,Do NCERT summary and one PYQ pass
Primary Market,Floatation Methods,1,2024,easy,Do NCERT summary and one PYQ pass
Marketing,marketing vs selling,2,2025,easy,Do NCERT summary and one PYQ pass
Marketing,product classification,2,2025,easy,Do NCERT summary and one PYQ pass
Nature and Significance of Management,features of a profession,2,2025,easy,Do NCERT summary and one PYQ pass
Staffing,Compensation and Benefits,2,2025,easy,Do NCERT summary and one PYQ pass
Consumer Protection,NGOs and relief,3,2025,medium,Study after high-priority topics
Business Environment,liberalisation privatisation globalisation,3,2023,easy,Do NCERT summary and one PYQ pass
