chapter,application,case-based,chronology,definition,direct,match-the-following,statement-based
Business Environment,6,7,3,0,49,14,13
Business Finance,4,12,5,5,105,20,18
Consumer Protection,0,12,4,0,68,11,5
Controlling,0,6,23,0,40,5,2
Directing,5,17,33,0,82,18,15
Entrepreneurship Development,0,0,4,1,31,2,3
Marketing,3,16,22,3,121,16,26
Nature and Significance of Management,9,14,12,8,132,6,20
Organising,0,1,17,3,50,8,12
Planning,0,2,20,1,52,15,25
Principles of Management,6,6,17,2,71,20,14
Staffing,0,9,40,2,80,12,5
Unknown,0,0,0,0,4,0,0
