subtopic,2022,2023,2024,2025
Fayol principles,21,5,3,49
Maslow hierarchy,7,0,1,20
NGOs and relief,1,0,0,6
Taylor scientific management,2,0,1,20
Unknown,0,0,0,4
channels of distribution,0,1,0,5
communication,10,6,2,38
competencies and values,1,1,0,10
concept and functions,4,5,0,14
consumer responsibilities,1,0,0,3
consumer rights,14,5,1,29
control process,10,1,1,14
coordination,0,0,0,12
decentralisation,2,0,0,6
delegation,3,3,1,15
dimensions,13,2,3,36
dividend decision,2,0,0,1
features of management,3,3,2,14
financial management,4,1,1,7
financial planning,2,0,0,9
financing decision,23,7,1,59
fixed capital,2,3,0,4
formal and informal organisation,3,1,0,5
functions of management,13,9,1,67
importance,11,2,5,28
importance of environment,3,0,0,8
importance of management,2,1,0,7
investment decision,6,0,1,15
leadership,6,5,0,15
legal redressal,4,3,1,9
levels of management,5,2,0,14
liberalisation privatisation globalisation,2,1,0,0
limitations,6,1,0,12
marketing management philosophies,1,4,0,0
marketing meaning,12,5,2,27
marketing mix,16,8,6,43
marketing vs selling,1,0,0,2
meaning and features,6,4,1,24
meaning and importance,17,5,3,63
meaning and objectives,9,2,2,33
meaning and process,5,2,1,15
motivation,8,4,0,16
nature of principles,3,2,0,5
need and characteristics,0,1,1,0
organisation structure,6,3,0,15
planning process,7,1,1,9
pricing,0,1,1,5
process,0,0,0,4
product,15,1,0,27
promotion,1,6,0,17
recruitment,7,2,0,10
relationship with planning,2,1,0,0
selection,5,0,1,15
staffing process,18,5,1,36
techniques of scientific management,7,5,1,12
training and development,7,5,2,25
types of plans,7,6,2,34
working capital,4,9,0,8
